"character" "dialogue"
"466" "THREEPIO" "Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!"
"467" "HAN" "Wait a minute..."
"468" "HAN" "All right, Chewie, let's get out of here!"
"469" "LEIA" "The Empire is still out there. I don't think it's wise to..."
"470" "HAN" "No time to discuss this as a committee."
"471" "LEIA" "I am not a committee!"
"472" "LEIA" "You can't make the jump to light-speed in this asteroid field..."
"473" "HAN" "Sit down, sweetheart. We're taking off!"
"474" "THREEPIO" "Look!"
"475" "HAN" "I see it, I see it."
"476" "THREEPIO" "We're doomed!"
"477" "LEIA" "The cave is collapsing."
"478" "HAN" "This is no cave."
"479" "LEIA" "What?"
"480" "YODA" "Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice."
"481" "LUKE" "Vader. Is the dark side stronger?"
"482" "YODA" "No...no...no. Quicker, easier, more seductive."
"483" "LUKE" "But how am I to know the good side from the bad?"
"484" "YODA" "You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack."
"485" "LUKE" "But tell me why I can't..."
"486" "YODA" "No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm."
"487" "LUKE" "There's something not right here."
"488" "LUKE" "I feel cold, death."
"489" "YODA" "That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go."
"490" "LUKE" "What's in there?"
"491" "YODA" "Only what you take with you."
"492" "YODA" "Your weapons...you will not need them."
"493" "PIETT" "Bounty hunters. We don't need that scum."
"494" "FIRST CONTROLLER" "Yes, sir."
"495" "PIETT" "Those Rebels won't escape us."
"496" "SECOND CONTROLLER" "Sir, we have a priority signal from the Star  Destroyer Avenger."
"497" "PIETT" "Right."
"498" "VADER" "...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations."
"499" "BOBA FETT" "As you wish."
"500" "PIETT" "Lord Vader! My lord, we have them."
"501" "THREEPIO" "Oh, thank goodness we're coming out of the asteroid field."
"502" "HAN" "Let's get out of here. Ready for light-speed? One...two...three!"
"503" "HAN" "It's not fair!"
"504" "HAN" "The transfer circuits are working. It's not my fault!"
"505" "LEIA" "No light-speed?"
"506" "HAN" "It's not my fault."
"507" "THREEPIO" "Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for."
"508" "HAN" "Turn her around."
"509" "HAN" "I said turn her around! I'm going to put all power in the front  shield."
"510" "LEIA" "You're going to attack them?!"
"511" "THREEPIO" "Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer..."
"512" "LEIA" "Shut up!"
"513" "NEEDA" "They're moving to attack position. Shields up!"
"514" "NEEDA" "Track them,. They may come around for another pass."
"515" "TRACKING OFFICER" "Captain Needa, the ship no longer appears on our  scopes."
"516" "NEEDA" "They can't have disappeared. No ship that small has a cloaking  device."
"517" "TRACKING OFFICER" "Well, there's no trace of them, sir."
"518" "COMMUNICATIONS OFFICER" "Captain, Lord Vader demands an update on the  pursuit."
"519" "NEEDA" "Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area."
"520" "COMMUNICATIONS OFFICER" "Yes, Captain Needa."
"521" "YODA" "Use the Force. Yes..."
"522" "YODA" "Now...the stone. Feel it."
"523" "YODA" "Concentrate!"
"524" "LUKE" "Oh, no. We'll never get it out now."
"525" "YODA" "So certain are you. Always with you it cannot be done. Hear you  nothing that I say?"
"526" "LUKE" "Master, moving stones around is one thing. This is totally  different."
"527" "YODA" "No! No different! Only different in your mind. You must unlearn  what you have learned."
"528" "LUKE" "All right, I'll give it a try."
"529" "YODA" "No! Try not. Do. Or do not. There is no try."
"530" "LUKE" "I can't. It's too big."
"531" "YODA" "Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm."
"532" "YODA" "And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!"
"533" "LUKE" "You want the impossible."
"534" "LUKE" "I don't...I don't believe it."
"535" "YODA" "That is why you fail."
"536" "VADER" "Apology accepted, Captain Needa."
"537" "PIETT" "Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now."
"538" "VADER" "Alert all commands. Calculate every possible destination along  their last know trajectory."
"539" "PIETT" "Yes, my lord. We'll find them."
"540" "VADER" "Don't fail me again, Admiral."
"541" "PIETT" "Alert all commands. Deploy the fleet."
"542" "THREEPIO" "Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?"
"543" "HAN" "The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw."
"544" "THREEPIO" "I really don't see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough..."
"545" "HAN" "Thank you."
"546" "LEIA" "What did you have in mind for your next move?"
"547" "HAN" "Well, if they follow standard Imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away."
"548" "LEIA" "With the rest of the garbage. Then what?"
"549" "HAN" "Then we've got to find a safe port somewhere around here. Got any  ideas?"
"550" "LEIA" "No. Where are we?"
"551" "HAN" "The Anoat system."
"552" "LEIA" "Anoat system. There's not much there."
"553" "HAN" "No. Well, wait. This is interesting. Lando."
"554" "LEIA" "Lando system?"
"555" "HAN" "Lando's not a system, he's a man. Lando Calrissian. He's a card  player, gambler, scoundrel. You'd like him."
"556" "LEIA" "Thanks."
"557" "HAN" "Bespin. It's pretty far, but I think we can make it."
"558" "LEIA" "A mining colony?"
"559" "HAN" "Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me."
"560" "LEIA" "Can you trust him?"
"561" "HAN" "No. But he has no love for the Empire, I can tell you that."
"562" "HAN" "Here we go, Chewie. Stand by. Detach!"
"563" "LEIA" "You do have your moments. Not many, but you have them."
"564" "YODA" "Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone."
"565" "LUKE" "Han! Leia!"
"566" "YODA" "Hmm. Control, control. You must learn control."
"567" "LUKE" "I saw...I saw a city in the clouds."
"568" "YODA" "Mmm. Friends you have there."
"569" "LUKE" "They were in pain."
"570" "YODA" "It is the future you see."
"571" "LUKE" "Future? Will they die?"
"572" "YODA" "Difficult to see. Always in motion is the future."
"573" "LUKE" "I've got to go to them."
"574" "YODA" "Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered."
"575" "HAN" "No, I don't have a landing permit. I'm trying  to reach Lando Calrissian."
"576" "HAN" "Whoa! Wait a minute! Let me explain."
"577" "INTERCOM VOICE" "You will not deviate from your present course."
"578" "THREEPIO" "Rather touchy, aren't they?"
"579" "LEIA" "I thought you knew this person."
"580" "HAN" "Well, that was a long time ago. I'm sure he's  forgotten about that."
"581" "INTERCOM VOICE" "Permission granted to land on Platform  Three-two-seven."
"582" "HAN" "Thank you."
"583" "HAN" "There's nothing to worry about. We go way back, Lando and me."
"584" "LEIA" "Who's worried?"
"585" "THREEPIO" "Oh. No one to meet us."
"586" "LEIA" "I don't like this."
"587" "HAN" "Well, what would you like?"
"588" "THREEPIO" "Well, they did let us land."
"589" "HAN" "Look, don't worry. Everything's going to be fine. Trust me."
"590" "HAN" "See? My friend.  Keep your eyes open, okay?"
"591" "LANDO" "Why, you slimy, double-crossing, no-good swindler! You've got a  lot of guts coming here, after what you pulled."
"592" "LANDO" "How you doing, you old pirate? So good to see you! I  never thought I'd catch up with you again. Where you been?"
"593" "THREEPIO" "Well, he seems very friendly."
"594" "LEIA" "Yes...very friendly."
"595" "LANDO" "What are you doing here?"
"596" "HAN" "Ahh...repairs. I thought you could  help me out."
"597" "LANDO" "What have you done to my ship?"
"598" "HAN" "Your ship? Hey, remember, you lost her to me fair and square."
"599" "LANDO" "Hello. What have we here? Welcome. I'm Lando Calrissian. I'm  the administrator of this facility. and who might you be?"
"600" "LEIA" "Leia."
"601" "LANDO" "Welcome, Leia."
"602" "HAN" "All right, all right, you old smoothie."
"603" "THREEPIO" "Hello, sir. I am See-Threepio, human-cyborg relations. My  facilities are at your..."
"604" "THREEPIO" "Well, really!"
"605" "LANDO" "What's wrong with the Falcon?"
"606" "HAN" "Hyperdrive."
"607" "LANDO" "I'll get my people to work on it."
"608" "HAN" "Good."
"609" "LANDO" "You know, that ship saved my life quite a few times. She's the  fastest hunk of junk in the galaxy."
"610" "HAN" "How's the gas mine? Is it paying off for you?"
"611" "LANDO" "Oh, not as well as I'd like. We're a small outpost and not very  self-sufficient. And I've had supply problems of every kind. I've had labor difficulties... What's so funny?"
"612" "HAN" "You. Listen to you -- you sound like a businessman, a responsible  leader. Who'd have thought that, huh?"
"613" "LANDO" "You know, seeing you sure brings back a few things."
"614" "HAN" "Yeah."
"615" "LANDO" "Yeah, I'm responsible these days. It's the  price you pay for being successful."
"616" "THREEPIO" "Oh! Nice to see a familiar face."
"617" "SECOND THREEPIO" "E chu ta!"
"618" "THREEPIO" "How rude!"
"619" "THREEPIO" "That sounds like an R2 unit in there. I wonder if..."
"620" "THREEPIO" "Hello? How interesting. Oh, my."
"621" "MAN" "Who are you?"
"622" "THREEPIO" "Oh, I'm terribly sorry. I...I didn't mean to intrude. No,  no, please don't get up. No!"
"623" "YODA" "Luke! You must complete the training."
"624" "LUKE" "I can't keep the vision out of my head. They're my friends. I've  got to help them."
"625" "YODA" "You must not go!"
"626" "LUKE" "But Han and Leia will die if I don't."
"627" "BEN" "You don't know that."
"628" "BEN" "Even Yoda cannot see their fate."
"629" "LUKE" "But I can help them! I feel the Force!"
"630" "BEN" "But you cannot control it. This is a dangerous time for you, when  you will be tempted by the dark side of the Force."
"631" "YODA" "Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave!"
"632" "LUKE" "But I've learned so much since then. Master Yoda, I promise to  return and finish what I've begun. You have my word."
"633" "BEN" "It is you and your abilities the Emperor wants. that is why your  friends are made to suffer."
"634" "LUKE" "And that is why I have to go."
"635" "BEN" "Luke, I don't want to lose you to the Emperor the way I lost  Vader."
"636" "LUKE" "You won't."
"637" "YODA" "Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil."
"638" "BEN" "Patience."
"639" "LUKE" "And sacrifice Han and Leia?"
"640" "YODA" "If you honor what they fight for...yes!"
"641" "BEN" "If you choose to face Vader, you will do it alone. I cannot  interfere."
"642" "LUKE" "I understand.  Artoo, fire up the  converters."
"643" "BEN" "Luke, don't give in to hate -- that leads to the dark side."
"644" "YODA" "Strong is Vader. Mind what you have learned. Save you it can."
"645" "LUKE" "I will. And I'll return. I promise."
"646" "YODA" "Told you, I did. Reckless is he. Now matters are worse."
"647" "BEN" "That boy is our last hope."
"648" "YODA" "No. There is another."
"649" "HAN" "The ship is almost finished. Two or Three more things and we're  in great shape."
"650" "LEIA" "The sooner the better. Something's wrong here. No one has seen  or knows anything about Threepio. He's been gone too long to have gotten lost."
"651" "HAN" "Relax. I'll talk to Lando and see what I can find out."
"652" "LEIA" "I don't trust Lando."
"653" "HAN" "Well, I don't trust him, either. But he is my friend. Besides,  we'll soon be gone."
"654" "LEIA" "And then you're as good as gone, aren't you?"
"655" "LEIA" "What happened?"
"656" "HAN" "Where? Found him in a junk pile?"
"657" "LEIA" "Oh, what a mess. Chewie, do you think you can repair him?"
"658" "HAN" "Lando's got people who can fix him."
"659" "LEIA" "No, thanks."
"660" "LANDO" "I'm sorry. Am I interrupting anything?"
"661" "LEIA" "Not really."
"662" "LANDO" "You look absolutely beautiful. You truly belong here with us  among the clouds."
"663" "LEIA" "Thank you."
"664" "LANDO" "Will you join me for a little refreshment?"
"665" "LANDO" "Everyone's invited, of course."
"666" "LANDO" "Having trouble with you droid?"
"667" "HAN" "No. No problem. Why?"
"668" "LANDO" "So you see, since we're a small operation, we don't fall into  the...uh...jurisdiction of the Empire."
"669" "LEIA" "So you're part of the mining guild then?"
"670" "LANDO" "No, not actually. Our operation is small enough not to be  noticed...which is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves."
"671" "HAN" "Aren't you afraid the Empire's going to find out about this  little operation and shut you down?"
"672" "LANDO" "That's always been a danger looming like a shadow over  everything we've built here. But things have developed that will insure security. I've just made a deal that will keep the Empire out of here forever."
"673" "VADER" "We would be honored if you would join us."
"674" "LANDO" "I had no choice. They arrived right before you did. I'm sorry."
"675" "HAN" "I'm sorry, too."
"676" "LUKE" "No, Threepio's with them."
"677" "LUKE" "Just hang on. We're almost there."
"678" "THREEPIO" "Mmmm. Oh, my. Uh, I, uh -- Take this off! I, uh, don't mean  to intrude here. I, don't, no, no, no...Please don't get up. No!"
"679" "THREEPIO" "Stormtroopers? Here? We're in danger. I must tell the  others. Oh, no! I've been shot!"
"680" "LANDO" "Lord Vader."
"681" "VADER" "You may take Captain Solo to Jabba the Hut after I  have Skywalker."
"682" "BOBA FETT" "He's no good to me dead."
"683" "VADER" "He will not be permanently damaged."
"684" "LANDO" "Lord Vader, what about Leia and the Wookiee?"
"685" "VADER" "They must never again leave this city."
"686" "LANDO" "That was never a condition of our agreement, nor was giving Han  to this bounty hunter!"
"687" "VADER" "Perhaps you think you're being treated unfairly."
"688" "LANDO" "No."
"689" "VADER" "Good. It would be unfortunate if I had to leave a garrison  here."
"690" "LANDO" "This deal's getting worse all the time."
"691" "THREEPIO" "Oh, yes, that's very good. I like that. Oh! Something's not  right because now I can't see. Wait. Wait! Oh, my! what have you done? I'm backwards, you stupid furball. Only an overgrown mophead like you would be stupid enough..."
"692" "HAN" "I feel terrible."
"693" "LEIA" "Why are they doing this?"
"694" "HAN" "They never even asked me any questions."
"695" "LEIA" "Lando."
"696" "HAN" "Get out of here, Lando!"
"697" "LANDO" "Shut up and listen! Vader has agreed to turn Leia and Chewie  over to me."
"698" "HAN" "Over to you?"
"699" "LANDO" "They'll have to stay here, but at least they'll be safe."
"700" "LEIA" "What about Han?"
"701" "LANDO" "Vader's giving him to the bounty hunter."
"702" "LEIA" "Vader wants us all dead."
"703" "LANDO" "He doesn't want you at all. He's after somebody called  Skywalker."
"704" "HAN" "Luke?"
"705" "LANDO" "Lord Vader has set a trap for him."
"706" "LEIA" "And we're the bait."
"707" "LANDO" "Well, he's on his way."
"708" "HAN" "Perfect. You fixed us all pretty good, didn't you?   My friend!"
"709" "LANDO" "Stop! I've done all I can do. I'm sorry I couldn't do better,  but I have my own problems."
"710" "HAN" "Yeah, you're a real hero."
"711" "LEIA" "You certainly have a way with people."
"712" "VADER" "This facility is crude, but it should be adequate to freeze  Skywalker for his journey to the Emperor."
"713" "IMPERIAL SOLDIER" "Lord Vader, ship approaching. X-wing class."
"714" "VADER" "Good. Monitor Skywalker and allow him to land."
"715" "LANDO" "Lord Vader, we only use this facility for carbon freezing. If  you put him in there, it might kill him."
"716" "VADER" "I do not want the Emperor's prize damaged. We will test it...on  Captain Solo."
"717" "THREEPIO" "If only you had attached my legs, I wouldn't be in this  ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish."
"718" "HAN" "What's going on...buddy?"
"719" "LANDO" "You're being put into carbon freeze."
"720" "BOBA FETT" "What if he doesn't survive? He's worth a lot to me."
"721" "VADER" "The Empire will compensate you if he dies. Put him in!"
"722" "THREEPIO" "Oh, no! No, no, no! Stop, Chewbacca, stop...!"
"723" "HAN" "Stop, Chewie, stop! Do you hear me? Stop!"
"724" "THREEPIO" "Yes, stop, please! I'm not ready to die."
"725" "HAN" "Chewie! Chewie, this won't help me. Hey!"
"726" "HAN" "Save your strength. There'll be another time. The princess -- you  have to take care of her. You hear me?"
"727" "LEIA" "I love you!"
"728" "HAN" "I know."
"729" "THREEPIO" "What...what's going on? Turn around, Chewbacca, I can't see.  Oh...they've encased him in carbonite. He should be quite well-protected -- if he survives the freezing process, that is."
"730" "VADER" "Well, Calrissian, did he survive?"
"731" "LANDO" "Yes, he's alive. And in perfect hibernation."
"732" "VADER" "He's all yours bounty hunter. Reset the chamber for Skywalker."
"733" "IMPERIAL OFFICER" "Skywalker has just landed, my lord."
"734" "VADER" "Good. See to it that he finds his way here. Calrissian, take  the princess and the Wookiee to my ship."
"735" "LANDO" "You said they'd be left in the city under my supervision."
"736" "VADER" "I am altering the deal. Pray I don't alter it any further."
"737" "LEIA" "Luke! Luke, don't -- it's a trap! It's a trap!"
"738" "VADER" "The Force is with you, young Skywalker. But you are not a Jedi  yet."
"739" "LANDO" "Well done. Hold them in the security tower -- and keep it  quiet. Move."
"740" "LEIA" "What do you think you're doing?"
"741" "LANDO" "We're getting out of here."
"742" "THREEPIO" "I knew all along it had to be a mistake."
"743" "LEIA" "Do you think that after what you did to Han we're going to trust  you?"
"744" "LANDO" "I had no choice..."
"745" "THREEPIO" "What are you doing? Trust him, trust him!"
"746" "LEIA" "Oh, so we understand, don't we, Chewie? He had no choice."
"747" "LANDO" "I'm just trying to help..."
"748" "LEIA" "We don't need any of your help."
"749" "LANDO" "H-a-a-a..."
"750" "LEIA" "What?"
"751" "THREEPIO" "It sounds like Han."
"752" "LANDO" "There's still a chance to save Han...I mean, at the East  Platform..."
"753" "LEIA" "Chewie."
"754" "THREEPIO" "I'm terribly sorry about all this. After all,  he's only a Wookiee."
"755" "BOBA FETT" "Put Captain Solo in the cargo hold."
"756" "THREEPIO" "Artoo! Artoo! Where have you been?"
"757" "THREEPIO" "Turn around, you wooly...!  Hurry, hurry! We're  trying to save Han from the bounty hunter!"
"758" "THREEPIO" "Well, at least your still in one piece! Look what happened  to me!"
"759" "THREEPIO" "Oh, no! Chewie, they're behind you!"
"760" "VADER" "You have learned much, young one."
"761" "LUKE" "You'll find I'm full of surprises."
"762" "VADER" "Your destiny lies with me, Skywalker. Obi-Wan knew this to be  true."
"763" "LUKE" "No!"
"764" "VADER" "All to easy. Perhaps you are not as strong as the Emperor  thought."
"765" "VADER" "Impressive...most impressive."
"766" "VADER" "Obi-Wan has taught you well. You have controlled your fear...  now release your anger."
"767" "VADER" "Only your hatred can destroy me."
"768" "LANDO" "The security codes has been changed!"
"769" "THREEPIO" "Artoo, you can tell the computer to override the security  system."
"770" "LANDO" "Attention! This is Lando Calrissian. The Empire has takes  control of the city. I advise everyone to leave before more Imperial troops arrive."
"771" "LANDO" "This way."
"772" "THREEPIO" "Don't blame me. I'm an interpreter. I'm not supposed to know  a power socket from a computer terminal."
"773" "THREEPIO" "What are you talking about? We're not interested in the  hyperdrive on the Millennium Falcon. It's fixed! Just open the door, you stupid lump."
"774" "THREEPIO" "I never doubted you for a second. Wonderful!"
"775" "THREEPIO" "Ouch! Oh! Ah! That hurt, Bend down, you thoughtless...Ow!"
"776" "LANDO" "Leia! Go!"
"777" "THREEPIO" "I thought that hairy beast would be the end of me. Of  course, I've looked better."
"778" "VADER" "You are beaten. It is useless to resist. Don't let yourself be  destroyed as Obi-Wan did."
"779" "VADER" "There is no escape. Don't make me destroy you. You do not yet  realize your importance. You have only begun to discover you power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy."
"780" "LUKE" "I'll never join you!"
"781" "VADER" "If you only knew the power of the dark side. Obi-Wan never told  you what happened to your father."
"782" "LUKE" "He told me enough! He told me you killed him."
"783" "VADER" "No. I am your father."
"784" "LUKE" "No. No. That's not true! That's impossible!"
"785" "VADER" "Search your feelings. You know it to be true."
"786" "LUKE" "No! No! No!"
"787" "VADER" "Luke. You can destroy the Emperor. He has foreseen this. It is  your destiny. Join me, and we can rule the galaxy as father and son. Come with me. It's the only way."
"788" "LUKE" "Ben...Ben, please!"
"789" "LUKE" "Ben. Leia!"
"790" "LUKE" "Hear me! Leia!"
"791" "LEIA" "Luke...We've got to go back."
"792" "LANDO" "What?"
"793" "LEIA" "I know where Luke is."
"794" "LANDO" "But what about those fighter?"
"795" "LEIA" "Chewie, just do it."
"796" "LANDO" "But what about Vader?"
"797" "LANDO" "All right, all right, all right."
"798" "VADER" "Bring my shuttle."
"799" "LANDO" "Look, someone's up there."
"800" "LEIA" "It's Luke. Chewie, slow down. Slow down and we'll get under him.  Lando, open the top hatch."
"801" "LEIA" "Okay. Easy, Chewie."
"802" "LEIA" "Lando?"
"803" "LANDO" "Okay, let's go."
"804" "LUKE" "Oh, Leia."
"805" "LANDO" "All right, Chewie. Let's go."
"806" "LEIA" "I'll be back."
"807" "LEIA" "Star Destroyer."
"808" "LANDO" "All right, Chewie. Ready for light-speed."
"809" "LEIA" "If your people fixed the hyperdrive."
"810" "LEIA" "All the coordinates are set. It's now or never."
"811" "LANDO" "Punch it!"
"812" "LANDO" "They told me they fixed it. I trusted them to fix it. It's not  my fault!"
"813" "PIETT" "They'll be in range of our tractor beam in moments, lord."
"814" "VADER" "Did your men deactivate the hyperdrive on the Millennium  Falcon?"
"815" "PIETT" "Yes, my lord."
"816" "VADER" "Good. Prepare the boarding party and set for your weapons for  stun."
"817" "PIETT" "Yes, my lord."
"818" "THREEPIO" "Noisy brute. Why don't we just go into light-speed?"
"819" "THREEPIO" "We can't? How would you know the hyperdrive is deactivated?"
"820" "THREEPIO" "The city's central computer told you? Artoo-Detoo, you know  better than to trust a strange computer. Ouch! Pay attention to what you're doing!"
"821" "VADER" "Luke."
"822" "LUKE" "Father."
"823" "VADER" "Son, come with me."
"824" "LUKE" "Ben, why didn't you tell me?"
"825" "LANDO" "Chewie!"
"826" "LUKE" "It's Vader."
"827" "VADER" "Luke...it is your destiny."
"828" "LUKE" "Ben, why didn't you tell me?"
"829" "PIETT" "Alert all commands. Ready for the tractor beam."
"830" "THREEPIO" "Artoo, come back at once! You haven't finished with me yet!  You don't know how to fix the hyperdrive. Chewbacca can do it. I'm standing here in pieces, and you're having delusions of grandeur!"
"831" "THREEPIO" "Oh, you did it!"
"832" "LANDO" "Luke, we're ready for takeoff."
"833" "LUKE" "Good luck, Lando"
"834" "LANDO" "When we find Jabba the Hut and that bounty  hunter, we'll contact you."
"835" "LUKE" "I'll meet you at the rendezvous point on  Tatooine."
"836" "LANDO" "Princess, we'll find Han. I promise."
"837" "LUKE" "Chewie, I'll be waiting for your signal."
"838" "LUKE" "Take care, you two. May the Force be with you."
"839" "LUKE" "Ow!"
"1" "SHUTTLE CAPTAIN" "Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield."
"2" "DEATH STAR CONTROLLER" "The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed."
"3" "SHUTTLE CAPTAIN" "We're starting our approach."
"4" "OFFICER" "Inform the commander that Lord Vader's shuttle has arrived."
"5" "OPERATOR" "Yes, sir."
"6" "JERJERROD" "Lord Vader, this is an unexpected pleasure.  We're honored by your presence."
"7" "VADER" "You may dispense with the pleasantries, Commander. I'm here to put you back on schedule."
"8" "JERJERROD" "I assure you, Lord Vader, my men are working as fast as they can."
"9" "VADER" "Perhaps I can find new ways to motivate them."
"10" "JERJERROD" "I tell you, this station will be operational as planned."
"11" "VADER" "The Emperor does not share your optimistic appraisal of the situation."
"12" "JERJERROD" "But he asks the impossible. I need more men."
"13" "VADER" "Then perhaps you can tell him when he arrives."
"14" "JERJERROD" "The Emperor's coming here?"
"15" "VADER" "That is correct, Commander. And he is most displeased with your apparent lack of progress."
"16" "JERJERROD" "We shall double our efforts."
"17" "VADER" "I hope so, Commander, for your sake. The Emperor is not as forgiving as I am."
"18" "THREEPIO" "Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place."
"19" "THREEPIO" "Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit."
"20" "THREEPIO" "Artoo, are you sure this is the right place? I better knock, I suppose."
"21" "THREEPIO" "There doesn't seem to be anyone there. Let's go back and tell Master Luke."
"22" "STRANGE VOICE" "Tee chuta hhat yudd!"
"23" "THREEPIO" "Goodness gracious me!"
"24" "THREEPIO" "Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt."
"25" "THREEPIO" "I don't think they're going to let us in, Artoo. We'd better go."
"26" "THREEPIO" "Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this."
"27" "THREEPIO" "Oh, Artoo!  Artoo, wait for me!"
"28" "THREEPIO" "Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no."
"29" "BIB" "Die Wanna Wanga!"
"30" "THREEPIO" "Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
"31" "THREEPIO" "... and a gift.  Gift, what gift?"
"32" "BIB" "Nee Jabba no badda. Me chaade su goodie."
"33" "THREEPIO" "He says that our instructions are to give it only to Jabba himself."
"34" "THREEPIO" "I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things."
"35" "BIB" "Nudd Chaa."
"36" "THREEPIO" "Artoo, I have a bad feeling about this."
"37" "THREEPIO" "Good morning."
"38" "JABBA" "Bo Shuda!"
"39" "THREEPIO" "The message, Artoo, the message."
"40" "LUKE" "Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids."
"41" "THREEPIO" "What did he say?"
"42" "LUKE" "... Both are hardworking and will serve you well."
"43" "THREEPIO" "This can't be! Artoo, you're playing the wrong message."
"44" "JABBA" "There will be no bargain."
"45" "THREEPIO" "We're doomed."
"46" "JABBA" "I will not give up my favorite decoration. I like Captain Solo where he is."
"47" "THREEPIO" "Artoo, look! Captain Solo. And he's still frozen in carbonite."
"48" "THREEPIO" "What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!"
"49" "NINEDENINE" "Ah, good. New acquisitions. You are a protocol droid, are you not?"
"50" "THREEPIO" "I am See-Threepio, human-cy..."
"51" "NINEDENINE" "Yes or no will do."
"52" "THREEPIO" "Oh. Well, yes."
"53" "NINEDENINE" "How many languages do you speak?"
"54" "THREEPIO" "I am fluent in over six million forms of communication, and can readily..."
"55" "NINEDENINE" "Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him."
"56" "THREEPIO" "Disintegrated?"
"57" "NINEDENINE" "Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency's main audience chamber."
"58" "THREEPIO" "Artoo, don't leave me! Ohhh!"
"59" "NINEDENINE" "You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely."
"60" "JABBA" "Da Eitha!"
"61" "OOLA" "Na Chuba negatorie Na! Na! Natoota..."
"62" "JABBA" "Boscka!"
"63" "BOUSHH" "I have come for the bounty on this Wookiee."
"64" "THREEPIO" "Oh, no! Chewbacca!"
"65" "JABBA" "At last we have the mighty Chewbacca."
"66" "THREEPIO" "Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
"67" "THREEPIO" "Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand."
"68" "BOUSHH" "I want fifty thousand. No less."
"69" "THREEPIO" "Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand."
"70" "THREEPIO" "Because he's holding a thermal detonator."
"71" "JABBA" "This bounty hunter is my kind of scum. Fearless and inventive."
"72" "THREEPIO" "Jabba offers the sum of thirty-five. And I suggest you take it."
